question,sql_query,result_preview
What drugs were most prescribed to patients with pneumonia diagnoses?,"SELECT p.DRUG_NAME_GENERIC, COUNT(p.DRUG_NAME_GENERIC) AS prescription_count
FROM prescriptions_random p
JOIN diagnoses_icd_random d ON p.HADM_ID = d.HADM_ID
WHERE d.ICD9_CODE LIKE '486%'
GROUP BY p.DRUG_NAME_GENERIC
ORDER BY prescription_count DESC;","[{""DRUG_NAME_GENERIC"":""Furosemide"",""prescription_count"":1123},{""DRUG_NAME_GENERIC"":""Potassium Chloride"",""prescription_count"":633},{""DRUG_NAME_GENERIC"":""Metoprolol"",""prescription_count"":594},{""DRUG_NAME_GENERIC"":""Sodium Chloride 0.9%  Flush"",""prescription_count"":486},{""DRUG_NAME_GENERIC"":""Lorazepam"",""prescription_count"":405}]"
What are the top comorbidities in diabetic patients?,"SELECT d_icd_diagnoses.LONG_TITLE, COUNT(diagnoses_icd_random.SUBJECT_ID) AS num_patients
FROM diagnoses_icd_random
JOIN d_icd_diagnoses ON diagnoses_icd_random.ICD9_CODE = d_icd_diagnoses.ICD9_CODE
WHERE diagnoses_icd_random.ICD9_CODE LIKE '250%'
GROUP BY diagnoses_icd_random.ICD9_CODE
ORDER BY num_patients DESC;","[{""LONG_TITLE"":""Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"",""num_patients"":1925},{""LONG_TITLE"":""Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":284},{""LONG_TITLE"":""Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":225},{""LONG_TITLE"":""Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"",""num_patients"":121},{""LONG_TITLE"":""Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"",""num_patients"":119}]"
What are the top comorbidities in diabetic patients?,"SELECT d_icd_diagnoses.LONG_TITLE, COUNT(diagnoses_icd_random.SUBJECT_ID) AS num_patients
FROM diagnoses_icd_random
JOIN d_icd_diagnoses ON diagnoses_icd_random.ICD9_CODE = d_icd_diagnoses.ICD9_CODE
WHERE diagnoses_icd_random.ICD9_CODE LIKE '250%'
GROUP BY diagnoses_icd_random.ICD9_CODE
ORDER BY num_patients DESC;","[{""LONG_TITLE"":""Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"",""num_patients"":1925},{""LONG_TITLE"":""Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":284},{""LONG_TITLE"":""Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":225},{""LONG_TITLE"":""Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"",""num_patients"":121},{""LONG_TITLE"":""Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"",""num_patients"":119}]"
What are the top comorbidities in diabetic patients?,"SELECT d_icd_diagnoses.LONG_TITLE, COUNT(diagnoses_icd_random.SUBJECT_ID) AS num_patients
FROM diagnoses_icd_random
JOIN d_icd_diagnoses ON diagnoses_icd_random.ICD9_CODE = d_icd_diagnoses.ICD9_CODE
WHERE diagnoses_icd_random.ICD9_CODE LIKE '250%'
GROUP BY diagnoses_icd_random.ICD9_CODE
ORDER BY num_patients DESC;","[{""LONG_TITLE"":""Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"",""num_patients"":1925},{""LONG_TITLE"":""Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":284},{""LONG_TITLE"":""Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"",""num_patients"":225},{""LONG_TITLE"":""Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"",""num_patients"":121},{""LONG_TITLE"":""Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"",""num_patients"":119}]"
Which organisms are most resistant to antibiotics?,"SELECT ORG_NAME, COUNT(ORG_NAME) AS ORGANISM_COUNT
FROM microbiologyevents_random
WHERE AB_NAME IS NOT NULL
GROUP BY ORG_NAME
ORDER BY ORGANISM_COUNT DESC;","[{""ORG_NAME"":""STAPH AUREUS COAG +"",""ORGANISM_COUNT"":15647},{""ORG_NAME"":""ESCHERICHIA COLI"",""ORGANISM_COUNT"":15582},{""ORG_NAME"":""KLEBSIELLA PNEUMONIAE"",""ORGANISM_COUNT"":7467},{""ORG_NAME"":""STAPHYLOCOCCUS, COAGULASE NEGATIVE"",""ORGANISM_COUNT"":6962},{""ORG_NAME"":""PSEUDOMONAS AERUGINOSA"",""ORGANISM_COUNT"":6399}]"
What are the most common lab tests for ICU patients diagnosed with sepsis or pneumonia?,"SELECT d_labitems.label, COUNT(*) AS test_count
FROM labevents_random
JOIN d_labitems ON labevents_random.itemid = d_labitems.itemid
WHERE labevents_random.subject_id IN (
    SELECT DISTINCT subject_id
    FROM diagnoses_icd_random
    WHERE icd9_code LIKE '995%' OR icd9_code LIKE '486%'
)
GROUP BY d_labitems.label
ORDER BY test_count DESC;","[{""LABEL"":""Glucose"",""test_count"":19827},{""LABEL"":""Hematocrit"",""test_count"":17291},{""LABEL"":""Potassium"",""test_count"":17213},{""LABEL"":""Sodium"",""test_count"":16468},{""LABEL"":""Creatinine"",""test_count"":16379}]"
What are the most common lab tests for ICU patients diagnosed with sepsis or pneumonia?,"SELECT d_labitems.label, COUNT(*) AS test_count
FROM labevents_random
JOIN d_labitems ON labevents_random.itemid = d_labitems.itemid
WHERE labevents_random.subject_id IN (
    SELECT DISTINCT subject_id
    FROM diagnoses_icd_random
    WHERE icd9_code LIKE '995%' OR icd9_code LIKE '486%'
)
GROUP BY d_labitems.label
ORDER BY test_count DESC;","[{""LABEL"":""Glucose"",""test_count"":19827},{""LABEL"":""Hematocrit"",""test_count"":17291},{""LABEL"":""Potassium"",""test_count"":17213},{""LABEL"":""Sodium"",""test_count"":16468},{""LABEL"":""Creatinine"",""test_count"":16379}]"
What are the most common lab tests for ICU patients diagnosed with sepsis or pneumonia?,"SELECT d_labitems.label, COUNT(*) AS lab_count
FROM labevents_random
JOIN d_labitems ON labevents_random.itemid = d_labitems.itemid
JOIN diagnoses_icd_random ON labevents_random.subject_id = diagnoses_icd_random.subject_id
WHERE diagnoses_icd_random.icd9_code LIKE '995%' OR diagnoses_icd_random.icd9_code LIKE '486%'
GROUP BY d_labitems.label
ORDER BY lab_count DESC;","[{""LABEL"":""Glucose"",""lab_count"":35046},{""LABEL"":""Hematocrit"",""lab_count"":31362},{""LABEL"":""Potassium"",""lab_count"":31255},{""LABEL"":""Sodium"",""lab_count"":29770},{""LABEL"":""Creatinine"",""lab_count"":29524}]"
What are the most common lab tests for ICU patients diagnosed with sepsis or pneumonia?,"SELECT d_labitems.label, COUNT(*) AS test_count
FROM labevents_random
JOIN d_labitems ON labevents_random.itemid = d_labitems.itemid
JOIN diagnoses_icd_random ON labevents_random.subject_id = diagnoses_icd_random.subject_id
WHERE diagnoses_icd_random.icd9_code LIKE '99591%' OR diagnoses_icd_random.icd9_code LIKE '486%'
GROUP BY d_labitems.label
ORDER BY test_count DESC;","[{""LABEL"":""Glucose"",""test_count"":19800},{""LABEL"":""Hematocrit"",""test_count"":17983},{""LABEL"":""Potassium"",""test_count"":17839},{""LABEL"":""Sodium"",""test_count"":16983},{""LABEL"":""Creatinine"",""test_count"":16839}]"
What are the most common lab tests for ICU patients diagnosed with sepsis or pneumonia?,"SELECT d_labitems.label, COUNT(*) AS test_count
FROM labevents_random
JOIN d_labitems ON labevents_random.itemid = d_labitems.itemid
JOIN diagnoses_icd_random ON labevents_random.subject_id = diagnoses_icd_random.subject_id
WHERE diagnoses_icd_random.icd9_code LIKE '995%' OR diagnoses_icd_random.icd9_code LIKE '486%'
GROUP BY d_labitems.label
ORDER BY test_count DESC;","[{""LABEL"":""Glucose"",""test_count"":35046},{""LABEL"":""Hematocrit"",""test_count"":31362},{""LABEL"":""Potassium"",""test_count"":31255},{""LABEL"":""Sodium"",""test_count"":29770},{""LABEL"":""Creatinine"",""test_count"":29524}]"
